STATEFIP,cases,STATEFIP,EMPLOY,count_profession,profession_variance,cases_variance
18,144623,18,1,14240,5291.91489361702,9322.21153846153
18,144623,18,4,11689,-3633.43137254902,9322.21153846153
18,144623,18,5,35525,12208.6470588235,9322.21153846153
19,308139,19,-9,271154,188467.038461538,172838.211538462
19,308139,19,3,26712,19826.0526315789,172838.211538462
19,308139,19,4,3614,-11708.431372549,172838.211538462
19,308139,19,5,6659,-16657.3529411765,172838.211538462
20,39981,20,-9,19608,-63078.9615384615,-95319.7884615385
20,39981,20,1,5950,-2998.08510638298,-95319.7884615385
20,39981,20,2,2214,-2437.04347826087,-95319.7884615385
20,39981,20,4,1637,-13685.431372549,-95319.7884615385
20,39981,20,5,10572,-12744.3529411765,-95319.7884615385
21,144980,21,-9,49129,-33557.9615384615,9679.21153846153
21,144980,21,1,19276,10327.914893617,9679.21153846153
21,144980,21,2,6905,2253.95652173913,9679.21153846153
21,144980,21,4,24851,9528.56862745098,9679.21153846153
21,144980,21,5,44819,21502.6470588235,9679.21153846153
22,44129,22,-9,25473,-57213.9615384615,-91171.7884615385
22,44129,22,1,3968,-4980.08510638298,-91171.7884615385
22,44129,22,2,1455,-3196.04347826087,-91171.7884615385
22,44129,22,4,2784,-12538.431372549,-91171.7884615385
22,44129,22,5,10449,-12867.3529411765,-91171.7884615385
24,260133,24,-9,170443,87756.0384615385,124832.211538462
24,260133,24,1,13571,4622.91489361702,124832.211538462
24,260133,24,2,9569,4917.95652173913,124832.211538462
24,260133,24,4,23286,7963.56862745098,124832.211538462
24,260133,24,5,43264,19947.6470588235,124832.211538462
25,25399,25,-9,25399,-57287.9615384615,-109901.788461538
26,295361,26,-9,72355,-10331.9615384615,160060.211538462
26,295361,26,1,20445,11496.914893617,160060.211538462
26,295361,26,2,20501,15849.9565217391,160060.211538462
26,295361,26,4,93895,78572.568627451,160060.211538462
26,295361,26,5,88165,64848.6470588235,160060.211538462
27,378557,27,-9,91075,8388.03846153847,243256.211538462
27,378557,27,1,74499,65550.914893617,243256.211538462
27,378557,27,2,9320,4668.95652173913,243256.211538462
27,378557,27,3,22,-6863.94736842105,243256.211538462
27,378557,27,4,14051,-1271.43137254902,243256.211538462
27,378557,27,5,189590,166273.647058824,243256.211538462
28,125196,28,-9,45952,-36734.9615384615,-10104.7884615385
28,125196,28,1,11847,2898.91489361702,-10104.7884615385
28,125196,28,2,4391,-260.04347826087,-10104.7884615385
28,125196,28,4,22046,6723.56862745098,-10104.7884615385
28,125196,28,5,40960,17643.6470588235,-10104.7884615385
29,67448,29,-9,33994,-48692.9615384615,-67852.7884615385
29,67448,29,1,3512,-5436.08510638298,-67852.7884615385
29,67448,29,2,2740,-1911.04347826087,-67852.7884615385
29,67448,29,3,103,-6782.94736842105,-67852.7884615385
29,67448,29,4,3358,-11964.431372549,-67852.7884615385
29,67448,29,5,23741,424.647058823528,-67852.7884615385
30,76988,30,-9,74020,-8666.96153846153,-58312.7884615385
30,76988,30,1,447,-8501.08510638298,-58312.7884615385
30,76988,30,2,387,-4264.04347826087,-58312.7884615385
30,76988,30,3,88,-6797.94736842105,-58312.7884615385
30,76988,30,4,544,-14778.431372549,-58312.7884615385
30,76988,30,5,1502,-21814.3529411765,-58312.7884615385
31,19525,31,-9,4041,-78645.9615384615,-115775.788461538
31,19525,31,1,3922,-5026.08510638298,-115775.788461538
31,19525,31,2,1924,-2727.04347826087,-115775.788461538
31,19525,31,4,2809,-12513.431372549,-115775.788461538
31,19525,31,5,6829,-16487.3529411765,-115775.788461538
32,15965,32,-9,7349,-75337.9615384615,-119335.788461538
32,15965,32,1,1473,-7475.08510638298,-119335.788461538
32,15965,32,2,395,-4256.04347826087,-119335.788461538
32,15965,32,3,2188,-4697.94736842105,-119335.788461538
32,15965,32,4,1856,-13466.431372549,-119335.788461538
32,15965,32,5,2704,-20612.3529411765,-119335.788461538
33,43584,33,-9,20813,-61873.9615384615,-91716.7884615385
33,43584,33,1,4489,-4459.08510638298,-91716.7884615385
33,43584,33,2,4039,-612.04347826087,-91716.7884615385
33,43584,33,3,135,-6750.94736842105,-91716.7884615385
33,43584,33,4,5251,-10071.431372549,-91716.7884615385
33,43584,33,5,8857,-14459.3529411765,-91716.7884615385
34,412907,34,-9,408780,326093.038461538,277606.211538462
34,412907,34,1,156,-8792.08510638298,277606.211538462
34,412907,34,2,217,-4434.04347826087,277606.211538462
34,412907,34,4,1880,-13442.431372549,277606.211538462
34,412907,34,5,1874,-21442.3529411765,277606.211538462
35,214434,35,-9,194273,111586.038461538,79133.2115384615
35,214434,35,1,16663,7714.91489361702,79133.2115384615
35,214434,35,2,218,-4433.04347826087,79133.2115384615
35,214434,35,4,2060,-13262.431372549,79133.2115384615
35,214434,35,5,1220,-22096.3529411765,79133.2115384615
36,47560,36,-9,23719,-58967.9615384615,-87740.7884615385
36,47560,36,1,1378,-7570.08510638298,-87740.7884615385
36,47560,36,2,1930,-2721.04347826087,-87740.7884615385
36,47560,36,3,557,-6328.94736842105,-87740.7884615385
36,47560,36,4,1724,-13598.431372549,-87740.7884615385
