STATEFIP,YEAR,COUNT(MH1),MH1
6,2019,11987,4
6,2019,1362,5
6,2019,51574,6
6,2019,179853,7
6,2019,13188,8
6,2019,2804,9
6,2019,1107,10
6,2019,123642,11
6,2019,63653,12
6,2019,74501,13
6,2020,40834,-9
6,2020,80426,1
6,2020,60623,2
6,2020,27564,3
6,2020,9244,4
6,2020,1056,5
6,2020,46026,6
6,2020,171087,7
6,2020,11198,8
6,2020,2278,9
6,2020,995,10
6,2020,110251,11
6,2020,65967,12
6,2020,70031,13
6,2021,79500,-9
6,2021,76848,1
6,2021,60092,2
6,2021,25434,3
6,2021,7376,4
6,2021,932,5
6,2021,40730,6
6,2021,151173,7
6,2021,9653,8
6,2021,2199,9
6,2021,893,10
6,2021,99151,11
6,2021,64374,12
6,2021,60244,13
6,2022,97297,-9
6,2022,71032,1
6,2022,56026,2
6,2022,20943,3
6,2022,4881,4
6,2022,949,5
6,2022,36054,6
6,2022,133175,7
6,2022,6500,8
6,2022,2009,9
6,2022,760,10
6,2022,88362,11
6,2022,61486,12
6,2022,50011,13
6,2023,70417,-9
6,2023,74210,1
6,2023,60084,2
6,2023,20090,3
6,2023,4337,4
6,2023,1050,5
6,2023,37961,6
6,2023,144112,7
6,2023,5508,8
6,2023,2776,9
6,2023,892,10
6,2023,95778,11
6,2023,67993,12
6,2023,51971,13
8,2013,1136,-9
8,2013,19974,1
8,2013,8259,2
8,2013,6286,3
8,2013,2545,4
8,2013,157,5
8,2013,20990,6
8,2013,25751,7
8,2013,1967,8
8,2013,370,9
8,2013,273,10
8,2013,11468,11
8,2013,1647,12
8,2013,2459,13
8,2014,1175,-9
8,2014,22576,1
8,2014,10218,2
8,2014,6852,3
8,2014,2526,4
8,2014,190,5
8,2014,22503,6
8,2014,28983,7
8,2014,1843,8
8,2014,348,9
8,2014,234,10
8,2014,12456,11
8,2014,2268,12
8,2014,2549,13
8,2015,22589,-9
8,2015,19245,1
8,2015,13739,2
8,2015,6491,3
8,2015,731,4
8,2015,112,5
8,2015,13565,6
8,2015,31401,7
8,2015,1878,8
8,2015,718,9
8,2015,565,10
8,2015,9583,11
8,2015,4280,12
8,2015,5640,13
8,2016,14126,-9
8,2016,21481,1
8,2016,13318,2
8,2016,5653,3
8,2016,1582,4
8,2016,92,5
8,2016,11925,6
8,2016,29197,7
8,2016,1228,8
8,2016,286,9
8,2016,719,10
8,2016,10373,11
8,2016,4318,12
8,2016,9713,13
8,2017,1871,-9
8,2017,32916,1
8,2017,17708,2
8,2017,7393,3
8,2017,1933,4
8,2017,103,5
8,2017,15826,6
8,2017,38810,7
8,2017,1942,8
8,2017,369,9
8,2017,955,10
8,2017,12898,11
8,2017,6089,12
8,2017,8437,13
8,2018,1678,-9
8,2018,36751,1
8,2018,18174,2
8,2018,7276,3
8,2018,2035,4
8,2018,118,5
8,2018,15557,6
8,2018,39102,7
8,2018,1828,8
8,2018,425,9
8,2018,974,10
8,2018,12689,11
8,2018,6470,12
8,2018,7470,13
8,2019,1871,-9
8,2019,33597,1
8,2019,16795,2
8,2019,6384,3
8,2019,1762,4
8,2019,89,5
8,2019,14289,6
8,2019,35430,7
8,2019,1418,8
8,2019,390,9
8,2019,952,10
8,2019,11820,11
8,2019,5895,12
8,2019,6587,13
8,2020,1654,-9
8,2020,32066,1
8,2020,16404,2
8,2020,5808,3
8,2020,1245,4
8,2020,48,5
8,2020,13307,6
8,2020,32962,7
8,2020,1044,8
8,2020,319,9
8,2020,836,10
8,2020,11706,11
8,2020,5302,12
8,2020,5268,13
8,2021,1910,-9
8,2021,35070,1
8,2021,19531,2
8,2021,6308,3
8,2021,1051,4
8,2021,63,5
8,2021,15268,6
8,2021,36528,7
8,2021,863,8
8,2021,349,9
8,2021,948,10
8,2021,13548,11
8,2021,5378,12
8,2021,5870,13
8,2022,1994,-9
8,2022,32770,1
8,2022,19686,2
8,2022,6038,3
8,2022,808,4
8,2022,50,5
8,2022,13856,6
8,2022,32275,7
8,2022,618,8
8,2022,327,9
8,2022,888,10
8,2022,12068,11
8,2022,4814,12
8,2022,5323,13
8,2023,2428,-9
8,2023,30904,1
8,2023,20618,2
8,2023,6018,3
8,2023,838,4
8,2023,35,5
8,2023,12603,6
8,2023,30641,7
8,2023,522,8
8,2023,337,9
8,2023,848,10
8,2023,11863,11
8,2023,4570,12
8,2023,5403,13
9,2013,14666,-9
9,2013,12751,1
9,2013,7499,2
9,2013,2888,3
9,2013,2241,4
9,2013,391,5
9,2013,14137,6
9,2013,18905,7
9,2013,1594,8
9,2013,1642,9
9,2013,72,10
9,2013,11360,11
9,2013,1493,13
9,2014,12434,-9
9,2014,13467,1
9,2014,6910,2
9,2014,3149,3
9,2014,2403,4
9,2014,345,5
9,2014,14902,6
9,2014,20203,7
9,2014,1612,8
9,2014,1651,9
9,2014,512,10
9,2014,11226,11
9,2014,2711,13
9,2015,27955,-9
9,2015,8930,1
9,2015,5123,2
9,2015,2134,3
9,2015,1236,4
9,2015,275,5
9,2015,12126,6
9,2015,16904,7
9,2015,859,8
9,2015,1073,9
9,2015,401,10
9,2015,10790,11
9,2015,425,12
9,2015,2293,13
9,2016,30541,-9
9,2016,9590,1
9,2016,6779,2
9,2016,1968,3
9,2016,990,4
